6507	7133
6506	5371
6125	6506
6147	6506
6169	6506
6505	8795
6505	3636
6505	10478
6505	8724
6505	25874
6505	351
6505	2260
6505	5578
2043	6505
4218	6505
9784	6505
1474	6505
3889	2060
54862	6505
374897	6505
139322	6505
51125	6505
221154	6505
94103	6505
56994	6505
131118	6505
80762	6505
51293	6505
5827	6505
9253	6505
8200	8710
8200	11072
8200	5055
8200	2167
8200	810
8200	1382
8200	5268
8200	8200
5333	8200
529	229
8991	8200
448834	8200
284114	8200
5866	8200
131578	8200
117177	8200
54861	8200
51806	8200
5275	8200
11187	8200
5048	3149
5048	164
5048	3326
5048	3312
1063	5048
11091	5048
6636	5048
6993	5048
10540	5048
22919	5048
83657	5048
51540	5048
66005	5048
54994	5048
25978	5048
51119	5048
5737	5737
84272	5737
54602	5737
25807	5737
29929	5737
5733	8546
5733	30000
5733	5338
5733	9448
5733	11319
5052	2060
6217	6124
5733	3956
6154	6124
5733	5295
5733	978
6189	6124
4238	5733
50628	5733
386682	5733
64854	5733
388324	5733
3881	5733
1595	5733
146664	5733
653583	5733
54884	5733
121227	5733
54808	5733
161424	5733
3895	5733
51599	5733
80125	5733
64786	5733
10274	5733
64327	5733
116150	5733
78987	5733
55770	5733
55705	5733
8502	5733
2177	5733
22931	5733
7982	5733
51566	5733
51194	5733
57216	5733
5732	351
408	5732
5739	8733
5739	9725
5739	23556
5739	3156
5739	6522
5739	3312
5739	2812
5739	6548
5739	7026
5739	821
6138	6124
5739	2710
5739	10052
6535	5739
2776	5739
6542	5739
6558	5739
4238	5739
491	5739
5311	5739
2535	5739
7357	5739
345778	5739
55362	5739
55240	5739
80131	5739
23042	5739
203859	5739
89978	5739
79065	5739
374395	5739
121260	5739
286410	5739
256471	5739
1896	5739
11146	5739
535	5739
55244	5739
221079	5739
2030	5739
10844	5739
56996	5739
114882	5739
80727	5739
55113	5739
202052	5739
57575	5739
9213	5739
27347	5739
9990	5739
57231	5739
10723	5739
7779	5739
4162	2534
9114	4162
55729	4162
286410	4162
63893	4162
868	7454
10514	23029
1630	6478
1630	229
1630	1965
1630	2203
1630	5595
1630	7111
1630	836
1964	1630
4150	1630
6228	1630
6191	1630
84450	23029
6477	1630
23424	1630
7464	1630
55363	1630
83939	1630
80755	1384
27101	1384
2740	4246
2740	10313
2740	2778
2740	1366
2740	23546
2740	1208
2740	5645
2740	23436
2740	100128731
2740	3925
2740	5066
7104	2740
2013	2740
7009	2740
2813	2740
386682	2740
1603	2740
808	2740
2778	2740
7341	2740
2778	2740
10139	2740
2778	2740
3937	7454
79009	23029
55002	2740
197407	23029
79745	2740
4900	2740
